year,penetration,ac_households,afford,delta_t,cdh,qf_mean_wm2,qf_peak_wm2,qf_peak_hour,elec_peak_mw,feedback_k
2036,0.5095763088669143,1670969,1.9935734160366274,0.16341094970703127,32657.491186523435,25.970123291015625,41.283958435058594,18,3943.409664,0.05
2037,0.5495136825759485,1801929,2.1359715171821008,0.18778028488159182,32780.31263580322,26.469327926635742,42.09225845336914,18,4008.257024,0.05
2038,0.5891921464630601,1932040,2.2885409112665367,0.21274051666259766,32906.1122039795,26.97044563293457,42.90088653564453,18,4082.578944,0.05
2039,0.6283851163142464,2060559,2.4520081192141467,0.23779640197753907,33032.393865966806,27.46982765197754,43.70419692993164,18,4156.446976,0.05
2040,0.6664646824435964,2185427,2.627151556300872,0.26276550292968753,33158.238134765634,27.9611759185791,44.491886138916016,18,4228.856832,0.05
2026,0.19955055206649072,654353,1.0,0.0,31833.9,22.21451759338379,35.124237060546875,18,3458.915328,0.08
2027,0.2207759731685256,723954,1.0714285714285714,0.0,31833.9,22.45911979675293,35.5309944152832,18,3490.891776,0.08
2028,0.2440263191440179,800195,1.1479591836734695,0.01956817626953125,31932.52360839843,22.7413272857666,35.99615478515625,18,3527.475968,0.08
2029,0.26959831467698486,884049,1.2299562682215746,0.042144775390625,32046.30966796875,23.053312301635742,36.508941650390625,18,3567.795456,0.08
2030,0.29757826304140056,975799,1.3178102873802586,0.06710357666015625,32172.10202636719,23.396804809570312,37.072021484375,18,3612.06528,0.08
2031,0.3278417411426309,1075037,1.4119395936217058,0.09458297729492188,32310.598205566406,23.77161979675293,37.68449401855469,18,3660.25344,0.08
2032,0.36051591670239763,1182180,1.512792421737542,0.12456817626953125,32461.72360839844,24.179105758666992,38.34819412231445,18,3712.460032,0.08
2033,0.39572277314681253,1297628,1.6208490232902235,0.15716705322265626,32626.021948242196,24.621475219726562,39.066226959228516,18,3768.916224,0.08
2034,0.4328563578066648,1419394,1.7366239535252397,0.19255661010742187,32804.385314941406,25.092758178710938,39.8280143737793,18,3828.829952,0.08
2035,0.47156535841475217,1546326,1.8606685216341854,0.23025924682617188,32994.40660400391,25.590011596679688,40.62833023071289,18,3891.806208,0.08
2036,0.511271268572739,1676527,1.9935734160366274,0.2700395202636719,33194.89918212891,26.10584259033203,41.454647064208984,18,3956.788736,0.08
2037,0.5514245529459912,1808195,2.1359715171821008,0.3113059997558594,33402.88223876953,26.63442039489746,42.2972526550293,18,4025.663232,0.08
2038,0.5915732629407643,1939848,2.2885409112665367,0.35359222412109376,33616.00480957032,27.17017364501953,43.14717483520508,18,4103.666176,0.08
2039,0.631158104548335,2069652,2.4520081192141467,0.3964524841308594,33832.020520019534,27.7054386138916,43.99197769165039,18,4181.185792,0.08
2040,0.6695514730413579,2195549,2.627151556300872,0.439273681640625,34047.83935546876,28.23217010498047,44.81908416748047,18,4257.085696,0.08
